College,Tuition (in-state),Tuition (out-of-state),Room & Board
Adelphi University,38657,,15527
Agnes Scott College,54007,,12449
Albany College of Pharmacy,34154,,11274
Albertus Magnus College,32386,,13520
Alfred University,32525,,12763
Allegheny College,44169,,11617
American International College,35680,,14100
American University,48187,,16100
Amherst College,70260,,0
Andrews University,29573,,8713
Anna Maria College,37860,,14230
Arcadia University,42557,,14040
Arizona State University,11224,28467,11841
Assumption College,40958,,12293
Auburn University,11407,30826,13865
Ave Maria University,20769,,11300
Babson College,51104,,16312
Bard College,54680,,15488
Barnard College,52917,,16744
Barry University,29952,,11024
Barton College,31198,,10250
Bates College,54000,,15000
Bay Path University,34899,,13311
Baylor University,42842,,13560
Becker College,39475,,13800
Belmont University,34133,,11336
Bennington College,53997,,15642
Bentley University,49880,,16340
Berklee College of Music,44460,,18907
Bethel University,37658,,10754
Biola University,39986,,10648
Bluffton University,32939,,10903
Boston College,56001,,14142
Boston University,53948,,15720
Bowdoin College,53922,,14697
Brandeis University,55040,,15142
Bridgewater State University,10568,16954,13069
Brigham Young University,11357,,8296
Brown University,55556,,14670
Bryant University,43973,,15702
Bryn Mawr College,53180,,16500
Bucknell University,56145,,13676
Butler University,41454,,13551
California Institute of Arts,49276,,17000
California Polytechnic State University San Luis Obispo,9809,22164,13641
Calvin College,34424,,10390
Carnegie Mellon University,55765,,14335
Case Western Reserve University,49400,,15375
Castleton State College,12449,28862,10702
Catholic University of America,45804,,14650
Cedarville University,30322,,7372
Central Connecticut State University,10591,23789,12913
Centre College,52707,,0
Champlain College,41411,,15502
Chapman University,52472,,5207
Claremont McKenna College,54692,,16869
Clark Atlanta University,22768,,8776
Clark University,46176,,9843
Clarkson University,49444,,15222
Clemson University,,36058,9595
Coastal Carolina University,11648,26907,9506
Colby College,69451,,0
Colby-Sawyer College,42398,,14264
Colgate University,56139,,14061
College of Charleston,12478,31601,11845
College of Mount Saint Vincent,38584,,9880
College of New Jersey,16794,28680,13728
College of New Rochelle,38083,,14701
College of Saint Rose,32920,,12850
College of the Atlantic,45284,,10137
College of the Holy Cross,52770,,14520
College of William and Mary,22926,45417,12271
College of Wooster,50544,,11856
Colorado College,54931,,12559
Colorado School of Mines,19745,38933,12373
Colorado State University,12097,30306,12696
Columbia College (Chicago),26603,,13368
Columbia University,56684,,14754
Concordia College New York,32864,,12351
Connecticut College,70138,,0
Cornell College,42526,,9474
Cornell University,36902,54967,14903
Culinary Institute of America,32880,,11305
Curry College,40140,,15324
Dartmouth College,55068,,15765
Davidson College,51947,,14512
Dean College,39614,,17000
Delaware State University,7320,17287,11890
Denison University,51960,,12710
DePaul University,39946,,17100
DePauw University,49752,,13116
DeSales University,37544,,13312
Dickinson College,54636,,13698
Drew University,48840,,13828
Drexel University,53279,,14079
Duke University,55894,,16120
Duquesne University,37850,,12599
Earlham College,47580,,10317
East Carolina University,7429,24357,10228
Eastern Connecticut State University,11356,24552,13530
Eastern Nazarene College,33051,,9707
Eastern University,33363,,11419
Eastern Washington University,7229,24277,11383
Eckerd College,44766,,12648
Elmira College,43576,,12480
Elms College,35788,,13108
Elon University,35644,,12344
Embry Riddle Aeronautical University,34461,,11544
Emerson College,46852,,17690
Emmanuel College,39804,,14994
Emory University,51368,,14450
Endicott College,33050,,15276
Fairfield University,48650,,14710
Fairleigh Dickinson University-Teaneck,39955,,13609
Fashion Institute of Technology,7760,21823,14503
Fisher College,31771,,16919
Fitchburg State University,10580,16903,10962
Florida Atlantic University,5649,20209,12382
Florida Gulf Coast University,6363,26167,10059
Florida Institute of Technology,38376,,11523
Florida Southern College,36165,,11652
Florida State University,6777,22550,11043
Fordham University,52128,,16770
Framingham State University,10317,16640,12126
Franciscan University of Steubenville,27487,,8736
Franklin and Marshall College,56451,,14132
Franklin Pierce University,36900,,13345
Furman University,,50282,13260
Gallaudet University,17220,,14294
Geneva College,27113,,10317
George Mason University,12193,35537,11326
George Washington University,55580,,13585
Georgetown University,54392,,16182
Georgia Institute of Technology,12915,34335,11952
Georgia State University,11292,30609,9932
Gettysburg College,54746,,13073
Gonzaga University,42983,,12012
Goodwin College,20798,,0
Gordon College,37400,,11070
Goucher College,46959,,14690
Grace College,23525,,6945
Green Mountain College,38482,,12191
Grove City College,17944,,9776
Hamilton College,54881,,13936
Hampshire College,53672,,14150
Hampton University,26460,,11667
Hartwick College,45899,,9457
Harvard University,50907,,17326
Haverford College,55176,,16596
Hellenic College,23286,,16840
High Point University,35365,,13884
Hobart and William Smith Colleges,55666,,14066
Hofstra University,49254,,14310
Hood College,39478,,13083
Houghton College,32802,,9379
Howard University,27675,,14242
Husson University,18263,,9878
Indiana University Pennsylvania,12632,24185,12405
Indiana University-Bloomington,10955,36240,10668
Iona College,39189,,15425
Ithaca College,44599,,15885
Jacksonville University,36670,,14248
James Madison University,11313,28369,10294
John Brown University,27190,,9402
Johns Hopkins University,54257,,16403
"Johnson & Wales University, Denver",32404,,13016
"Johnson & Wales University, Providence",32404,,13016
Julliard,44897,,15995
Juniata College,45630,,12522
Kalamazoo College,48560,,9766
"Kansas State University, Manhattan",9898,24781,9807
Keene State College,14423,23519,11165
Kent State University,,19286,11353
Kenyon College,55702,,12771
Keuka College,32184,,11910
Knox College,46756,,10084
La Salle University,30784,,16132
Lafayette College,52884,,15642
Lake Forest College,47370,,10454
Lasell College,35984,,15392
Lebanon Valley College,43867,,11918
Lehigh University,52541,,13645
LeMoyne College,35261,,13936
Lesley University,27695,,16380
LeTourneau University,30493,,10265
Lewis & Clark College,50948,,12580
Liberty University,24910,,9280
"Long Island University, Brooklyn Campus",40942,,14269
"Long Island University, Brookville (LIU Post)",38354,,9412
"Loyola Marymount University, Los Angeles",47894,,14825
"Loyola University, Chicago",44296,,15340
"Loyola University, Maryland",49462,,16266
"Loyola University, New Orleans",41072,,13173
Lynchburg College,38189,,10691
Macalester College,54563,,12139
Maine College of Art,35360,,12366
Maine Maritime Academy,13809,27693,10514
Manhattan College,43068,,16224
Manhattanville College,39426,,15101
Marietta College,37482,,11773
Marist College,38251,,15704
Marlboro College,42042,,12407
Marquette University,41496,,12366
Maryland Institute College of Art,47102,,8954
Marymount Manhattan College,33228,,17056
Marymount University,31643,,12709
Marywood University,34518,,14141
Mass College of Pharmacy & HS,33894,,17081
Massachusetts College of Art and Design,13208,35776,14040
Massachusetts College of Liberal Arts,10478,19781,11033
Massachusetts Institute of Technology,51888,,15309
Massachusetts Maritime Academy,8715,19906,12798
Mercyhurst University,37773,,13125
Merrimack College,41760,,15845
Messiah College,35526,,10629
Methodist University,34403,,13265
Miami University,15572,35595,13730
Michigan State University,15097,41039,10427
Middlebury College,54596,,15567
Midwestern State University,,11432,8877
Mills College,31467,,13986
Misericordia University,32926,,14092
Mississippi State University,8651,23252,9999
Mitchell College,33740,,13260
Molloy College,31075,,13980
Monmouth University,38201,,15756
Monroe College,15575,,10535
Montserrat College of Art,33280,,9880
Morehouse College,27574,,13438
Morrisville State College,8641,,13768
Mount Holyoke College,49998,,14660
Mount Ida College,37149,,14227
Muhlenberg College,52863,,11752
National Technical Institute for the Deaf - RIT,16944,,13173
Nazareth College of Rochester,34657,,13946
New England College,38432,,14429
New England Conservatory of Music,49369,,16328
New England Institute of Technology,28080,,17555
New England School of Communications,18263,,9878
New Hampshire Institute of Art,27955,,11606
New York University,51828,,18156
Newbury College,35849,,15080
Niagara University,33228,,13468
Nichols College,35360,,14352
Norfolk State University,9397,22088,10358
North Carolina State University,9420,28502,11288
Northeastern University,51412,,15880
Northern Arizona University,11501,25835,10342
"Northern Vermont University, Johnson",12074,25394,10598
"Northern Vermont University, Lyndon",12074,25394,10598
Northpoint Bible College,12536,,9225
Northwestern University,54785,,16689
Norwich University,40205,,13907
Nova Southeastern University,31075,,10639
Nyack College,25500,,9450
Oakwood University,18085,,10071
Oberlin College,55650,,16496
Ohio Northern University,32230,,11721
Ohio State University,11015,30883,12742
Ohio University,12372,22214,13116
Ohio Wesleyan University,46478,,12428
Oxford College of Emory University,50442,,13044
Pace University,45745,,19282
Palm Beach Atlantic University,30690,,10046
Patrick Henry College,29039,,11157
Paul Smith's College,28452,,12240
"Pennsylvania State University, University Park",18113,33950,11731
Pepperdine University,54072,,15465
Pine Manor College,32406,,13967
Pitzer College,54325,,16915
Plymouth State University,14321,23119,10369
Point Park University,31335,,12438
Pratt Institute,52040,,12501
Prescott College,31783,,9695
Princeton University,49910,,16234
Providence College,50528,,14700
"Purdue University, West Lafayette",10402,29956,10431
Quinnipiac University,47960,,14540
Ramapo College of New Jersey,14643,24143,12147
Randolph-Macon College,41600,,12449
Reed College,56368,,14217
Regis College,41413,,15330
Rensselaer Polytechnic Institute,54397,,15558
Rhode Island College,9127,22141,11788
Rhode Island School of Design,50409,,13572
Rider University,42962,,15288
Rivier University,32022,,13613
Roanoke College,44402,,13788
"Robert Morris University, PA",30545,,11627
Roberts Wesleyan College,32173,,10847
Rochester Institute of Technology,41671,,13173
Roger Williams University,34512,,15854
Rollins College,50268,,15319
Russell Sage College,29499,,12904
"Rutgers University, Camden",15081,31121,13589
"Rutgers University, New Brunswick",15222,31801,13501
"Rutgers University, Newark",15222,31801,14198
Sacred Heart University,41413,,15361
Saint Anselm College,41590,,14712
